text,response
"let me be one who leans on his staff in the last days...broken and weak, and in that weakness let me lift my hands in honor and praise to He who saved me by His own merit. Thank You dear Father who makes His goodness known in me. May You be glorified.",extraversion
"let me be one who leans on his staff in the last days...broken and weak, and in that weakness let me lift my hands in honor and praise to He who saved me by His own merit. Thank You dear Father who makes His goodness known in me. May You be glorified.",agreeableness
"let me be one who leans on his staff in the last days...broken and weak, and in that weakness let me lift my hands in honor and praise to He who saved me by His own merit. Thank You dear Father who makes His goodness known in me. May You be glorified.",conscientiousness
"let me be one who leans on his staff in the last days...broken and weak, and in that weakness let me lift my hands in honor and praise to He who saved me by His own merit. Thank You dear Father who makes His goodness known in me. May You be glorified.",openess
"is a tax collector who standing afar off would not even raise his eyes to heaven. I pray, ""God, be merciful to me, a sinner.""",extraversion
"is a tax collector who standing afar off would not even raise his eyes to heaven. I pray, ""God, be merciful to me, a sinner.""",agreeableness
"is a tax collector who standing afar off would not even raise his eyes to heaven. I pray, ""God, be merciful to me, a sinner.""",conscientiousness
"is a tax collector who standing afar off would not even raise his eyes to heaven. I pray, ""God, be merciful to me, a sinner.""",openess
"stop regarding men. What account is he? --isaiah 2:22.. We are nothing more than a nose-full of breath. Oh man, how frail are you? Why do you expect regard? Why do I?",extraversion
"stop regarding men. What account is he? --isaiah 2:22.. We are nothing more than a nose-full of breath. Oh man, how frail are you? Why do you expect regard? Why do I?",agreeableness
"stop regarding men. What account is he? --isaiah 2:22.. We are nothing more than a nose-full of breath. Oh man, how frail are you? Why do you expect regard? Why do I?",conscientiousness
"stop regarding men. What account is he? --isaiah 2:22.. We are nothing more than a nose-full of breath. Oh man, how frail are you? Why do you expect regard? Why do I?",openess
"is a deer panting for your living water. I thirst for the living God and in my thirst I need your rest. Precious Lord, carry me for even at my strongest I lack the strength to stand on my own. Amen",extraversion
"is a deer panting for your living water. I thirst for the living God and in my thirst I need your rest. Precious Lord, carry me for even at my strongest I lack the strength to stand on my own. Amen",agreeableness
"is a deer panting for your living water. I thirst for the living God and in my thirst I need your rest. Precious Lord, carry me for even at my strongest I lack the strength to stand on my own. Amen",conscientiousness
"is a deer panting for your living water. I thirst for the living God and in my thirst I need your rest. Precious Lord, carry me for even at my strongest I lack the strength to stand on my own. Amen",openess
"Gimme your eyes for just one second. Gimme your eyes so I can see. Everything that I keep missin, gimme your love for humanity. Gimme your arms for the broken-hearted, the ones that are far beyond my reach...",extraversion
"Gimme your eyes for just one second. Gimme your eyes so I can see. Everything that I keep missin, gimme your love for humanity. Gimme your arms for the broken-hearted, the ones that are far beyond my reach...",agreeableness
"Gimme your eyes for just one second. Gimme your eyes so I can see. Everything that I keep missin, gimme your love for humanity. Gimme your arms for the broken-hearted, the ones that are far beyond my reach...",conscientiousness
"Gimme your eyes for just one second. Gimme your eyes so I can see. Everything that I keep missin, gimme your love for humanity. Gimme your arms for the broken-hearted, the ones that are far beyond my reach...",openess
"Jesus. You're the lover of my soul. Jesus. I will never let you go. You've taken me from the mirey place; set my feet upon the rock, and now I know...",extraversion
"Jesus. You're the lover of my soul. Jesus. I will never let you go. You've taken me from the mirey place; set my feet upon the rock, and now I know...",agreeableness
"Jesus. You're the lover of my soul. Jesus. I will never let you go. You've taken me from the mirey place; set my feet upon the rock, and now I know...",conscientiousness
"Jesus. You're the lover of my soul. Jesus. I will never let you go. You've taken me from the mirey place; set my feet upon the rock, and now I know...",openess
"is excited her :D For serious, that's all i can think about",extraversion
"is excited her :D For serious, that's all i can think about",agreeableness
"is excited her :D For serious, that's all i can think about",conscientiousness
"is excited her :D For serious, that's all i can think about",openess
"Because you, oh Lord, are He who created all things, sustains all things, and knows all things. All things came from you, are of you, and will return unto your breast from whence they came. Blessing and honor and glory to you, oh Father. This is the song of my spirit...praising its origin. You. My God.",extraversion
"Because you, oh Lord, are He who created all things, sustains all things, and knows all things. All things came from you, are of you, and will return unto your breast from whence they came. Blessing and honor and glory to you, oh Father. This is the song of my spirit...praising its origin. You. My God.",agreeableness
"Because you, oh Lord, are He who created all things, sustains all things, and knows all things. All things came from you, are of you, and will return unto your breast from whence they came. Blessing and honor and glory to you, oh Father. This is the song of my spirit...praising its origin. You. My God.",conscientiousness
"Because you, oh Lord, are He who created all things, sustains all things, and knows all things. All things came from you, are of you, and will return unto your breast from whence they came. Blessing and honor and glory to you, oh Father. This is the song of my spirit...praising its origin. You. My God.",openess
"is excited to see her :D For serious, that's all i can think about",extraversion
"is excited to see her :D For serious, that's all i can think about",agreeableness
"is excited to see her :D For serious, that's all i can think about",conscientiousness
"is excited to see her :D For serious, that's all i can think about",openess
"Lord, be my portion. Christ trusted you to provide all the help He ever needed. Let me do the same.",extraversion
"Lord, be my portion. Christ trusted you to provide all the help He ever needed. Let me do the same.",agreeableness
"Lord, be my portion. Christ trusted you to provide all the help He ever needed. Let me do the same.",conscientiousness
"Lord, be my portion. Christ trusted you to provide all the help He ever needed. Let me do the same.",openess
"loves being broken. It means I fought hard and didn't give up. I'll wrestle with you, oh God of Jacob, and I won't let go.",extraversion
"loves being broken. It means I fought hard and didn't give up. I'll wrestle with you, oh God of Jacob, and I won't let go.",agreeableness
"loves being broken. It means I fought hard and didn't give up. I'll wrestle with you, oh God of Jacob, and I won't let go.",conscientiousness
"loves being broken. It means I fought hard and didn't give up. I'll wrestle with you, oh God of Jacob, and I won't let go.",openess
thinks its a kind of non-funny cosmic joke that if he really ever does defeat pride...he will find himself proud of his humility. :P Good call *PROPNAME*,extraversion
thinks its a kind of non-funny cosmic joke that if he really ever does defeat pride...he will find himself proud of his humility. :P Good call *PROPNAME*,agreeableness
thinks its a kind of non-funny cosmic joke that if he really ever does defeat pride...he will find himself proud of his humility. :P Good call *PROPNAME*,conscientiousness
thinks its a kind of non-funny cosmic joke that if he really ever does defeat pride...he will find himself proud of his humility. :P Good call *PROPNAME*,openess
"Let me know you more deeply and truely, oh Lord. There are none who know you completely, and so I pray that YOU show me. Your ways are perfect and I want my life to sing your praise. Let me walk with love, joy, peace, patience, kindness, goodness, gentleness, and self-control. Against such things there is no law.",extraversion
"Let me know you more deeply and truely, oh Lord. There are none who know you completely, and so I pray that YOU show me. Your ways are perfect and I want my life to sing your praise. Let me walk with love, joy, peace, patience, kindness, goodness, gentleness, and self-control. Against such things there is no law.",agreeableness
"Let me know you more deeply and truely, oh Lord. There are none who know you completely, and so I pray that YOU show me. Your ways are perfect and I want my life to sing your praise. Let me walk with love, joy, peace, patience, kindness, goodness, gentleness, and self-control. Against such things there is no law.",conscientiousness
"Let me know you more deeply and truely, oh Lord. There are none who know you completely, and so I pray that YOU show me. Your ways are perfect and I want my life to sing your praise. Let me walk with love, joy, peace, patience, kindness, goodness, gentleness, and self-control. Against such things there is no law.",openess
"Dude, I'm freaking engaged! To the sweetest angel of a fiance ever! Thank you Lord for your love through this woman :D",extraversion
"Dude, I'm freaking engaged! To the sweetest angel of a fiance ever! Thank you Lord for your love through this woman :D",agreeableness
"Dude, I'm freaking engaged! To the sweetest angel of a fiance ever! Thank you Lord for your love through this woman :D",conscientiousness
"Dude, I'm freaking engaged! To the sweetest angel of a fiance ever! Thank you Lord for your love through this woman :D",openess
I love *PROPNAME* 0:),extraversion
I love *PROPNAME* 0:),agreeableness
I love *PROPNAME* 0:),conscientiousness
I love *PROPNAME* 0:),openess
"is anxiously attached. I don't know how to ask for help. And I don't know how to accept it. ---i'll drag my own intestines back to dyer, thank you very much.",extraversion
"is anxiously attached. I don't know how to ask for help. And I don't know how to accept it. ---i'll drag my own intestines back to dyer, thank you very much.",agreeableness
"is anxiously attached. I don't know how to ask for help. And I don't know how to accept it. ---i'll drag my own intestines back to dyer, thank you very much.",conscientiousness
"is anxiously attached. I don't know how to ask for help. And I don't know how to accept it. ---i'll drag my own intestines back to dyer, thank you very much.",openess
"""hope in a wasteland of faith; stone figures hewn down; blood flowing through ancient sewers""",extraversion
"""hope in a wasteland of faith; stone figures hewn down; blood flowing through ancient sewers""",agreeableness
"""hope in a wasteland of faith; stone figures hewn down; blood flowing through ancient sewers""",conscientiousness
"""hope in a wasteland of faith; stone figures hewn down; blood flowing through ancient sewers""",openess
"I can't remember when the earth turned slowly...so i'll just wait here with the lights turned out again. I lost my place, but I can't stop this story. I'll find my way, but til then I'm only...spinning",extraversion
"I can't remember when the earth turned slowly...so i'll just wait here with the lights turned out again. I lost my place, but I can't stop this story. I'll find my way, but til then I'm only...spinning",agreeableness
"I can't remember when the earth turned slowly...so i'll just wait here with the lights turned out again. I lost my place, but I can't stop this story. I'll find my way, but til then I'm only...spinning",conscientiousness
"I can't remember when the earth turned slowly...so i'll just wait here with the lights turned out again. I lost my place, but I can't stop this story. I'll find my way, but til then I'm only...spinning",openess
Lord please bless our time together. Its so difficult to go so long without being with the treasure You have graced my life with. I pray that you bring her to me safely and that I pursue her well.,extraversion
Lord please bless our time together. Its so difficult to go so long without being with the treasure You have graced my life with. I pray that you bring her to me safely and that I pursue her well.,agreeableness
Lord please bless our time together. Its so difficult to go so long without being with the treasure You have graced my life with. I pray that you bring her to me safely and that I pursue her well.,conscientiousness
Lord please bless our time together. Its so difficult to go so long without being with the treasure You have graced my life with. I pray that you bring her to me safely and that I pursue her well.,openess
This will probably take a good long while to get used to :) I think I'm still in shock. Haha. I have a fiance. Wow. And not just any fiance; I am pursuing the pearl of great value :D,extraversion
This will probably take a good long while to get used to :) I think I'm still in shock. Haha. I have a fiance. Wow. And not just any fiance; I am pursuing the pearl of great value :D,agreeableness
This will probably take a good long while to get used to :) I think I'm still in shock. Haha. I have a fiance. Wow. And not just any fiance; I am pursuing the pearl of great value :D,conscientiousness
This will probably take a good long while to get used to :) I think I'm still in shock. Haha. I have a fiance. Wow. And not just any fiance; I am pursuing the pearl of great value :D,openess
"Everlasting, Eternal One, Zealous Conqueror, Creator, Sustainer, Almighty...how can I appeal to your highest pleasure. What can I bring to you that you do not already have? Vanity. Even to define my mission as one to bring you glory is utter foolishness. What can I lift up with these dirty hands? What can I sing with defiled lips?",extraversion
"Everlasting, Eternal One, Zealous Conqueror, Creator, Sustainer, Almighty...how can I appeal to your highest pleasure. What can I bring to you that you do not already have? Vanity. Even to define my mission as one to bring you glory is utter foolishness. What can I lift up with these dirty hands? What can I sing with defiled lips?",agreeableness
"Everlasting, Eternal One, Zealous Conqueror, Creator, Sustainer, Almighty...how can I appeal to your highest pleasure. What can I bring to you that you do not already have? Vanity. Even to define my mission as one to bring you glory is utter foolishness. What can I lift up with these dirty hands? What can I sing with defiled lips?",conscientiousness
"Everlasting, Eternal One, Zealous Conqueror, Creator, Sustainer, Almighty...how can I appeal to your highest pleasure. What can I bring to you that you do not already have? Vanity. Even to define my mission as one to bring you glory is utter foolishness. What can I lift up with these dirty hands? What can I sing with defiled lips?",openess
is waiting on the Lord this morning,extraversion
is waiting on the Lord this morning,agreeableness
is waiting on the Lord this morning,conscientiousness
is waiting on the Lord this morning,openess
"To understand how ridiculously excited I am to see my fiance, you must first win the lottery, do somersaults, run a hundred miles effortlessly, wake up to birds chirping, eat a super-yummy meal, and be addicted to oxygen...then you might get close to scratching the surface. Maybe",extraversion
"To understand how ridiculously excited I am to see my fiance, you must first win the lottery, do somersaults, run a hundred miles effortlessly, wake up to birds chirping, eat a super-yummy meal, and be addicted to oxygen...then you might get close to scratching the surface. Maybe",agreeableness
"To understand how ridiculously excited I am to see my fiance, you must first win the lottery, do somersaults, run a hundred miles effortlessly, wake up to birds chirping, eat a super-yummy meal, and be addicted to oxygen...then you might get close to scratching the surface. Maybe",conscientiousness
"To understand how ridiculously excited I am to see my fiance, you must first win the lottery, do somersaults, run a hundred miles effortlessly, wake up to birds chirping, eat a super-yummy meal, and be addicted to oxygen...then you might get close to scratching the surface. Maybe",openess
is examining himself. 2 Cor 13:5. Testing himself to see if he is in the faith. Work out your salvation with fear and trembling for it is God who works in you to will and to act according to His good purpose. Phillipians 2:12-13,extraversion
is examining himself. 2 Cor 13:5. Testing himself to see if he is in the faith. Work out your salvation with fear and trembling for it is God who works in you to will and to act according to His good purpose. Phillipians 2:12-13,agreeableness
is examining himself. 2 Cor 13:5. Testing himself to see if he is in the faith. Work out your salvation with fear and trembling for it is God who works in you to will and to act according to His good purpose. Phillipians 2:12-13,conscientiousness
is examining himself. 2 Cor 13:5. Testing himself to see if he is in the faith. Work out your salvation with fear and trembling for it is God who works in you to will and to act according to His good purpose. Phillipians 2:12-13,openess
"we're goin down down in an earlier round...a loaded god complex is pointed right at us. Lord, please be God here. Please bless our hearts of love",extraversion
"we're goin down down in an earlier round...a loaded god complex is pointed right at us. Lord, please be God here. Please bless our hearts of love",agreeableness
"we're goin down down in an earlier round...a loaded god complex is pointed right at us. Lord, please be God here. Please bless our hearts of love",conscientiousness
"we're goin down down in an earlier round...a loaded god complex is pointed right at us. Lord, please be God here. Please bless our hearts of love",openess
bring on this semester :) What fun things will I learn?? Only God knows :) ..someone's always missing from this campus though.. last term without her...sigh*,extraversion
bring on this semester :) What fun things will I learn?? Only God knows :) ..someone's always missing from this campus though.. last term without her...sigh*,agreeableness
bring on this semester :) What fun things will I learn?? Only God knows :) ..someone's always missing from this campus though.. last term without her...sigh*,conscientiousness
bring on this semester :) What fun things will I learn?? Only God knows :) ..someone's always missing from this campus though.. last term without her...sigh*,openess
is with his darling...oh what simple things many take for granted. Thank you Lord for your gift of life. Thank you Lord for *PROPNAME* :),extraversion
is with his darling...oh what simple things many take for granted. Thank you Lord for your gift of life. Thank you Lord for *PROPNAME* :),agreeableness
is with his darling...oh what simple things many take for granted. Thank you Lord for your gift of life. Thank you Lord for *PROPNAME* :),conscientiousness
is with his darling...oh what simple things many take for granted. Thank you Lord for your gift of life. Thank you Lord for *PROPNAME* :),openess
"""I know what lies beyond this life for me is already won. No one can take away the blood that covers over my bones. Without the blood of perfect life I know I'm nothing at all.""",extraversion
"""I know what lies beyond this life for me is already won. No one can take away the blood that covers over my bones. Without the blood of perfect life I know I'm nothing at all.""",agreeableness
"""I know what lies beyond this life for me is already won. No one can take away the blood that covers over my bones. Without the blood of perfect life I know I'm nothing at all.""",conscientiousness
"""I know what lies beyond this life for me is already won. No one can take away the blood that covers over my bones. Without the blood of perfect life I know I'm nothing at all.""",openess
"is not with his darling anymore :( sad day(s)...Lord, be my sustanence as you always are. Especially now that much of my joy is 700 miles away from me. I love you *PROPNAME*, and I miss you!",extraversion
"is not with his darling anymore :( sad day(s)...Lord, be my sustanence as you always are. Especially now that much of my joy is 700 miles away from me. I love you *PROPNAME*, and I miss you!",agreeableness
"is not with his darling anymore :( sad day(s)...Lord, be my sustanence as you always are. Especially now that much of my joy is 700 miles away from me. I love you *PROPNAME*, and I miss you!",conscientiousness
"is not with his darling anymore :( sad day(s)...Lord, be my sustanence as you always are. Especially now that much of my joy is 700 miles away from me. I love you *PROPNAME*, and I miss you!",openess
"""We are the sons of holy wrath,A shining light in the darkThe ones who walk amongst despair,No sign of fear in our hearts""",extraversion
"""We are the sons of holy wrath,A shining light in the darkThe ones who walk amongst despair,No sign of fear in our hearts""",agreeableness
"""We are the sons of holy wrath,A shining light in the darkThe ones who walk amongst despair,No sign of fear in our hearts""",conscientiousness
"""We are the sons of holy wrath,A shining light in the darkThe ones who walk amongst despair,No sign of fear in our hearts""",openess
"6am on a saturday is far to early to drag one's self out of bed...ugh, God thank you for this morning..even though I'd like to be sleeping it away...It really is a beautiful morning :)",extraversion
"6am on a saturday is far to early to drag one's self out of bed...ugh, God thank you for this morning..even though I'd like to be sleeping it away...It really is a beautiful morning :)",agreeableness
"6am on a saturday is far to early to drag one's self out of bed...ugh, God thank you for this morning..even though I'd like to be sleeping it away...It really is a beautiful morning :)",conscientiousness
"6am on a saturday is far to early to drag one's self out of bed...ugh, God thank you for this morning..even though I'd like to be sleeping it away...It really is a beautiful morning :)",openess
"What makes people happy? Apparently we really suck at knowing what makes us happy. Its a measurable, replicable scientific fact. I dunno why that strikes me funny. lol. Lord, teach us to be joyful in you.",extraversion
"What makes people happy? Apparently we really suck at knowing what makes us happy. Its a measurable, replicable scientific fact. I dunno why that strikes me funny. lol. Lord, teach us to be joyful in you.",agreeableness
"What makes people happy? Apparently we really suck at knowing what makes us happy. Its a measurable, replicable scientific fact. I dunno why that strikes me funny. lol. Lord, teach us to be joyful in you.",conscientiousness
"What makes people happy? Apparently we really suck at knowing what makes us happy. Its a measurable, replicable scientific fact. I dunno why that strikes me funny. lol. Lord, teach us to be joyful in you.",openess
"I don't know how it all works. I don't know why. I don't know how. I just am who you made me. I have what you gave me. Let me be yours. Please take all I have as yours. Let me be holy and of you. I desire for my life to boil your vapor from my skin forever. Burn everlasting flame. Flinted face, calloused knuckles, and grinding teeth...my best. That's what you got.",extraversion
"I don't know how it all works. I don't know why. I don't know how. I just am who you made me. I have what you gave me. Let me be yours. Please take all I have as yours. Let me be holy and of you. I desire for my life to boil your vapor from my skin forever. Burn everlasting flame. Flinted face, calloused knuckles, and grinding teeth...my best. That's what you got.",agreeableness
"I don't know how it all works. I don't know why. I don't know how. I just am who you made me. I have what you gave me. Let me be yours. Please take all I have as yours. Let me be holy and of you. I desire for my life to boil your vapor from my skin forever. Burn everlasting flame. Flinted face, calloused knuckles, and grinding teeth...my best. That's what you got.",conscientiousness
"I don't know how it all works. I don't know why. I don't know how. I just am who you made me. I have what you gave me. Let me be yours. Please take all I have as yours. Let me be holy and of you. I desire for my life to boil your vapor from my skin forever. Burn everlasting flame. Flinted face, calloused knuckles, and grinding teeth...my best. That's what you got.",openess
"""I believe the world is burning to the ground. Oh well, I guess we're gonna find out""--How far have we come, Lord? Let us make the most of the time we do have here. We waste TOO much time on so many things that don't matter. Its not worth it. Really.",extraversion
"""I believe the world is burning to the ground. Oh well, I guess we're gonna find out""--How far have we come, Lord? Let us make the most of the time we do have here. We waste TOO much time on so many things that don't matter. Its not worth it. Really.",agreeableness
"""I believe the world is burning to the ground. Oh well, I guess we're gonna find out""--How far have we come, Lord? Let us make the most of the time we do have here. We waste TOO much time on so many things that don't matter. Its not worth it. Really.",conscientiousness
"""I believe the world is burning to the ground. Oh well, I guess we're gonna find out""--How far have we come, Lord? Let us make the most of the time we do have here. We waste TOO much time on so many things that don't matter. Its not worth it. Really.",openess
"life never seems to stop changing. Its crazy to think college is almost over. Wow. Lord, please guide the steps of my life as it is so formless yet traced before me.",extraversion
"life never seems to stop changing. Its crazy to think college is almost over. Wow. Lord, please guide the steps of my life as it is so formless yet traced before me.",agreeableness
"life never seems to stop changing. Its crazy to think college is almost over. Wow. Lord, please guide the steps of my life as it is so formless yet traced before me.",conscientiousness
"life never seems to stop changing. Its crazy to think college is almost over. Wow. Lord, please guide the steps of my life as it is so formless yet traced before me.",openess
"Dude, its freaking snowing!!!!! Yay!!!! Let's play in it!",extraversion
"Dude, its freaking snowing!!!!! Yay!!!! Let's play in it!",agreeableness
"Dude, its freaking snowing!!!!! Yay!!!! Let's play in it!",conscientiousness
"Dude, its freaking snowing!!!!! Yay!!!! Let's play in it!",openess
"""I gotta feelin. Woohoo...that tonight's gonna be a good night"" :) I like it when prayer's answered sweetly and things work out well. Thanks God :)",extraversion
"""I gotta feelin. Woohoo...that tonight's gonna be a good night"" :) I like it when prayer's answered sweetly and things work out well. Thanks God :)",agreeableness
"""I gotta feelin. Woohoo...that tonight's gonna be a good night"" :) I like it when prayer's answered sweetly and things work out well. Thanks God :)",conscientiousness
"""I gotta feelin. Woohoo...that tonight's gonna be a good night"" :) I like it when prayer's answered sweetly and things work out well. Thanks God :)",openess
So much to say. So much to do. So much to be. So little time. 24 hours is already to small an amount of time. Its hard to be without you.,extraversion
So much to say. So much to do. So much to be. So little time. 24 hours is already to small an amount of time. Its hard to be without you.,agreeableness
So much to say. So much to do. So much to be. So little time. 24 hours is already to small an amount of time. Its hard to be without you.,conscientiousness
So much to say. So much to do. So much to be. So little time. 24 hours is already to small an amount of time. Its hard to be without you.,openess
"Does it really take cancer or death to bring us to have a heart for our family? Really? Lord, at this rate, it'll take You coming on the clouds, blowing our minds and shaking us from our complacent lives...complacent in the daily grind. Complacent in our justifiable self-pity. Complacent in our self-centeredness. It'll take You to show us how wrong we all are.",extraversion
"Does it really take cancer or death to bring us to have a heart for our family? Really? Lord, at this rate, it'll take You coming on the clouds, blowing our minds and shaking us from our complacent lives...complacent in the daily grind. Complacent in our justifiable self-pity. Complacent in our self-centeredness. It'll take You to show us how wrong we all are.",agreeableness
"Does it really take cancer or death to bring us to have a heart for our family? Really? Lord, at this rate, it'll take You coming on the clouds, blowing our minds and shaking us from our complacent lives...complacent in the daily grind. Complacent in our justifiable self-pity. Complacent in our self-centeredness. It'll take You to show us how wrong we all are.",conscientiousness
"Does it really take cancer or death to bring us to have a heart for our family? Really? Lord, at this rate, it'll take You coming on the clouds, blowing our minds and shaking us from our complacent lives...complacent in the daily grind. Complacent in our justifiable self-pity. Complacent in our self-centeredness. It'll take You to show us how wrong we all are.",openess
has walked a thousand miles with grace so far. I could walk like this forever...Jesus how can you be so good to me?? May you be praised in every step I take. Always,extraversion
has walked a thousand miles with grace so far. I could walk like this forever...Jesus how can you be so good to me?? May you be praised in every step I take. Always,agreeableness
has walked a thousand miles with grace so far. I could walk like this forever...Jesus how can you be so good to me?? May you be praised in every step I take. Always,conscientiousness
has walked a thousand miles with grace so far. I could walk like this forever...Jesus how can you be so good to me?? May you be praised in every step I take. Always,openess
"""I believe it all is coming to an end. Oh well, I guess we're gonna pretend"". Ever feel like a five-year-old who is content to cover his//her eyes to feel safe and secure? If I can't see you, you can't see me..lol..I want us all to stop ignoring the important things. They won't go away if you ignore them. I promise.",extraversion
"""I believe it all is coming to an end. Oh well, I guess we're gonna pretend"". Ever feel like a five-year-old who is content to cover his//her eyes to feel safe and secure? If I can't see you, you can't see me..lol..I want us all to stop ignoring the important things. They won't go away if you ignore them. I promise.",agreeableness
"""I believe it all is coming to an end. Oh well, I guess we're gonna pretend"". Ever feel like a five-year-old who is content to cover his//her eyes to feel safe and secure? If I can't see you, you can't see me..lol..I want us all to stop ignoring the important things. They won't go away if you ignore them. I promise.",conscientiousness
"""I believe it all is coming to an end. Oh well, I guess we're gonna pretend"". Ever feel like a five-year-old who is content to cover his//her eyes to feel safe and secure? If I can't see you, you can't see me..lol..I want us all to stop ignoring the important things. They won't go away if you ignore them. I promise.",openess
"neoplatonic thinking postulates ""the one"" is infinite and gives rise, eventually, to this world of 'becoming"". Lord you were, are, and forever will be. My one. May I draw all life and thought from Your essential creativity. May I be made to be like Your form. Good.",extraversion
"neoplatonic thinking postulates ""the one"" is infinite and gives rise, eventually, to this world of 'becoming"". Lord you were, are, and forever will be. My one. May I draw all life and thought from Your essential creativity. May I be made to be like Your form. Good.",agreeableness
"neoplatonic thinking postulates ""the one"" is infinite and gives rise, eventually, to this world of 'becoming"". Lord you were, are, and forever will be. My one. May I draw all life and thought from Your essential creativity. May I be made to be like Your form. Good.",conscientiousness
"neoplatonic thinking postulates ""the one"" is infinite and gives rise, eventually, to this world of 'becoming"". Lord you were, are, and forever will be. My one. May I draw all life and thought from Your essential creativity. May I be made to be like Your form. Good.",openess
I like where we are. here :)...except...where's my julie?????? :(((. I don't like where we are anymore...,extraversion
I like where we are. here :)...except...where's my julie?????? :(((. I don't like where we are anymore...,agreeableness
I like where we are. here :)...except...where's my julie?????? :(((. I don't like where we are anymore...,conscientiousness
I like where we are. here :)...except...where's my julie?????? :(((. I don't like where we are anymore...,openess
"""No demanding without understanding"" --*PROPNAME*",extraversion
"""No demanding without understanding"" --*PROPNAME*",agreeableness
"""No demanding without understanding"" --*PROPNAME*",conscientiousness
"""No demanding without understanding"" --*PROPNAME*",openess
"""Ever since the day I was born i've been deciding the end..."" let your light guide my way, oh Lord. You are the great shepherd.",extraversion
"""Ever since the day I was born i've been deciding the end..."" let your light guide my way, oh Lord. You are the great shepherd.",agreeableness
"""Ever since the day I was born i've been deciding the end..."" let your light guide my way, oh Lord. You are the great shepherd.",conscientiousness
"""Ever since the day I was born i've been deciding the end..."" let your light guide my way, oh Lord. You are the great shepherd.",openess
"As long as I'm alive, I'd die for you. Thank You Lord for your love and Your awakening it within me.",extraversion
"As long as I'm alive, I'd die for you. Thank You Lord for your love and Your awakening it within me.",agreeableness
"As long as I'm alive, I'd die for you. Thank You Lord for your love and Your awakening it within me.",conscientiousness
"As long as I'm alive, I'd die for you. Thank You Lord for your love and Your awakening it within me.",openess
"""All these weirdos, and me getting a little better every day...I had never known...that there might be a place for people like us""--*PROPNAME*",extraversion
"""All these weirdos, and me getting a little better every day...I had never known...that there might be a place for people like us""--*PROPNAME*",agreeableness
"""All these weirdos, and me getting a little better every day...I had never known...that there might be a place for people like us""--*PROPNAME*",conscientiousness
"""All these weirdos, and me getting a little better every day...I had never known...that there might be a place for people like us""--*PROPNAME*",openess
"""Wilt thou change this world... Or wilt thou change thyself?""...can't i do both?",extraversion
"""Wilt thou change this world... Or wilt thou change thyself?""...can't i do both?",agreeableness
"""Wilt thou change this world... Or wilt thou change thyself?""...can't i do both?",conscientiousness
"""Wilt thou change this world... Or wilt thou change thyself?""...can't i do both?",openess
"*PROPNAME*. The spice of life. Apparently its one of my signature strengths :). How can I help make your life more adventurous today? Thank you, Lord, for making me salt and light.",extraversion
"*PROPNAME*. The spice of life. Apparently its one of my signature strengths :). How can I help make your life more adventurous today? Thank you, Lord, for making me salt and light.",agreeableness
"*PROPNAME*. The spice of life. Apparently its one of my signature strengths :). How can I help make your life more adventurous today? Thank you, Lord, for making me salt and light.",conscientiousness
"*PROPNAME*. The spice of life. Apparently its one of my signature strengths :). How can I help make your life more adventurous today? Thank you, Lord, for making me salt and light.",openess
Screw you AXLE,extraversion
Screw you AXLE,agreeableness
Screw you AXLE,conscientiousness
Screw you AXLE,openess
"""why art thou cast down oh my soul?"" Oh yeah, because my darling isn't here. Lord, this is a high calling indeed.",extraversion
"""why art thou cast down oh my soul?"" Oh yeah, because my darling isn't here. Lord, this is a high calling indeed.",agreeableness
"""why art thou cast down oh my soul?"" Oh yeah, because my darling isn't here. Lord, this is a high calling indeed.",conscientiousness
"""why art thou cast down oh my soul?"" Oh yeah, because my darling isn't here. Lord, this is a high calling indeed.",openess
"Thank you, Lord, for today :) The day that three  years ago you let me start to make mine the most amazing woman ever! :) I love you *PROPNAME* :)",extraversion
"Thank you, Lord, for today :) The day that three  years ago you let me start to make mine the most amazing woman ever! :) I love you *PROPNAME* :)",agreeableness
"Thank you, Lord, for today :) The day that three  years ago you let me start to make mine the most amazing woman ever! :) I love you *PROPNAME* :)",conscientiousness
"Thank you, Lord, for today :) The day that three  years ago you let me start to make mine the most amazing woman ever! :) I love you *PROPNAME* :)",openess
"Happy Valentine's day everybody! And especially   to my sweet fiancee (with two ""e's""), *PROPNAME* , who makes this day very very  special  for me! Hey ya'll don't take for granted that you can hold the  one you  love in your arms. I'd give both of my arms just to see my love  right  now.",extraversion
"Happy Valentine's day everybody! And especially   to my sweet fiancee (with two ""e's""), *PROPNAME* , who makes this day very very  special  for me! Hey ya'll don't take for granted that you can hold the  one you  love in your arms. I'd give both of my arms just to see my love  right  now.",agreeableness
"Happy Valentine's day everybody! And especially   to my sweet fiancee (with two ""e's""), *PROPNAME* , who makes this day very very  special  for me! Hey ya'll don't take for granted that you can hold the  one you  love in your arms. I'd give both of my arms just to see my love  right  now.",conscientiousness
"Happy Valentine's day everybody! And especially   to my sweet fiancee (with two ""e's""), *PROPNAME* , who makes this day very very  special  for me! Hey ya'll don't take for granted that you can hold the  one you  love in your arms. I'd give both of my arms just to see my love  right  now.",openess
"Though the air is cold outside, I pray You warm our hearts with Your love.",extraversion
"Though the air is cold outside, I pray You warm our hearts with Your love.",agreeableness
"Though the air is cold outside, I pray You warm our hearts with Your love.",conscientiousness
"Though the air is cold outside, I pray You warm our hearts with Your love.",openess
